[Header]	
System	TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	4/3/2024 3:41:34 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/High Suspension Kit (High Conc.)	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:07:18 PM	1	1	NPOC	1.041	0.000	NPOC:0.000mg/L TN:0.000mg/L	1	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:10:52 PM	1	2	NPOC	0.09850	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:14:27 PM	1	3	NPOC	0.5438	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:18:01 PM	1	4	NPOC	0.8348	0.000	NPOC:0.000mg/L TN:0.000mg/L	1	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:20:49 PM	1	5	NPOC	0.3813	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:07:18 PM	1	1	TN	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	1	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:10:52 PM	1	2	TN	0.1863	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:14:27 PM	1	3	TN	0.2045	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:18:01 PM	1	4	TN	0.1073	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:27:36 PM	1	1	NPOC	0.9527	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:31:10 PM	1	2	NPOC	0.3790	0.000	NPOC:0.000mg/L TN:0.000mg/L	1	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:34:44 PM	1	3	NPOC	0.7952	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:37:23 PM	1	4	NPOC	0.4102	0.000	NPOC:0.000mg/L TN:0.000mg/L	1	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:40:10 PM	1	5	NPOC	0.7832	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:27:36 PM	1	1	TN	0.01580	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:31:10 PM	1	2	TN	0.02020	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:34:44 PM	1	3	TN	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:46:57 PM	1	1	NPOC	0.3009	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:50:42 PM	1	2	NPOC	0.1812	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.cal	1.00		3/11/2024 12:54:17 PM	1	3	NPOC	0.2262	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:46:57 PM	1	1	TN	0.1292	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:50:42 PM	1	2	TN	0.1114	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Unknown	NPOC/TN	CondBlank3	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 12:54:17 PM	1	3	TN	0.04200	0.000	NPOC:0.000mg/L TN:0.000mg/L	0	80	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 1:48:55 PM	1	1	NPOC	0.3443	0.000	 	1	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 1:52:11 PM	1	2	NPOC	1.439	0.000	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 1:55:42 PM	1	3	NPOC	1.666	0.000	 	1	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 1:58:57 PM	1	4	NPOC	1.363	0.000	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 2:02:05 PM	1	5	NPOC	1.248	0.000	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 2:12:32 PM	2	1	NPOC	5.959	0.2500	 	1	150	
